"anyword","Freq"
"moved",236
"released",236
"hospital",235
"judge",234
"film",233
"member",232
"rate",232
"fall",231
"annual",230
"fund",230
"needed",230
"star",230
"voters",230
"added",229
"offer",229
"site",229
"we've",229
"costs",228
"clear",227
"online",227
"pick",227
"especially",225
"issues",225
"short",225
"spent",225
"store",225
"america",224
"current",224
"social",224
"spokesman",224
"turned",224
"control",223
"position",223
"property",223
"average",222
"billion",222
"guy",222
"instead",222
"shows",222
"stay",222
"heart",221
"town",221
"age",220
"helped",220
"louis",220
"safety",220
"announced",219
"guys",219
"low",219
"nine",219
"wants",219
"body",218
"book",218
"pretty",218
"restaurant",218
"spending",218
"spring",218
"charged",217
"development",217
"football",217
"won't",217
"works",217
"idea",216
"reason",216
"scored",216
"brought",215
"international",215
"leave",215
"whole",215
"air",214
"club",214
"credit",214
"gas",214
"mother",214
"student",214
"opportunity",213
"role",213
"training",213
"hope",212
"problems",212
"served",212
"space",212
"winning",212
"force",211
"knew",210
"tried",210
"matter",209
"felt",208
"inside",208
"hall",207
"prices",207
"union",207
"anyone",206
"includes",206
"phone",206
"soon",206
"died",205
"interest",205
"rose",205
"charges",204
"legal",204
"problem",204
"son",204
"starting",204
"chicago",203
"means",203
"paid",203
"research",203
"allow",202
"bar",202
"customers",202
"governor",202
"meet",202
"administration",201
"election",201
"gets",201
"hand",201
"light",201
"order",201
"war",201
"construction",200
"investigation",200
"key",200
"minutes",200
"romney",200
"takes",200
"david",199
"share",199
"guard",197
"block",196
"brown",196
"press",196
"similar",196
"biggest",195
"else",195
"los",195
"price",195
"buy",194
"drug",194
"leaders",194
"growth",193
"michael",193
"owner",193
"pass",193
"actually",192
"data",192
"total",192
"questions",191
"father",190
"june",190
"create",189
"following",189
"named",189
"opening",189
"term",189
"ask",188
"changes",188
"decided",188
"groups",188
"performance",188
"seems",188
"visit",188
"contract",187
"lives",187
"valley",187
"sent",186
"sports",186
"action",185
"allowed",185
"river",185
"weekend",185
"difficult",184
"records",184
"sometimes",184
"stadium",184
"double",183
"included",183
"killed",183
"longer",183
"moving",183
"personal",182
"post",182
"track",182
"either",181
"heard",181
"opened",181
"risk",181
"easy",180
"filed",180
"insurance",180
"maybe",180
"themselves",180
"toward",180
"ways",180
"americans",179
"cases",179
"central",179
"goes",179
"involved",179
"potential",179
"teachers",179
"democratic",178
"living",178
"rather",178
"state's",178
"study",178
"trip",178
"homes",177
"hot",177
"hour",177
"lake",177
"media",177
"passed",177
"sign",177
"calls",176
"expect",176
"mark",176
"angeles",175
"happen",175
"lower",175
"additional",174
"association",174
"christie",174
"save",174
"scheduled",174
"victory",174
"benefits",173
"bowl",173
"fell",173
"james",173
"nfl",173
"offered",173
"ready",173
"showed",173
"focus",172
"practice",172
"programs",172
"stage",172
"events",171
"fun",171
"serious",171
"base",170
"families",170
"happy",170
"hold",170
"movie",170
"trade",170
"amount",169
"commission",169
"miles",169
"sense",169
"couldn't",168
"ground",168
"result",168
"throughout",168
"baltimore",167
"democrats",167
"growing",167
"leading",167
"policy",167
"rest",167
"act",166
"daughter",166
"door",166
"effort",166
"gone",166
"largest",166
"looked",166
"reports",166
"technology",166
"arizona",165
"attention",165
"closed",165
"congress",165
"draft",165
"human",165
"ran",165
"worth",165
"cuts",164
"firm",164
"fresh",164
"kept",164
"main",164
"neighborhood",164
"previous",164
"prison",164
"tough",164
"built",163
"happened",163
"republicans",163
"baseball",162
"course",162
"met",162
"patients",162
"rights",162
"taxes",162
"build",161
"military",161
"mind",161
"plays",161
"video",161
"wrote",161
"division",160
"francisco",160
"income",160
"wrong",160
"afternoon",159
"break",159
"comment",159
"driving",159
"july",159
"situation",159
"sold",159
"title",159
"bay",158
"check",158
"paul",158
"traffic",158
"debt",157
"efforts",157
"giving",157
"heat",157
"read",157
"results",157
"scene",157
"tour",157
"tournament",157
"ahead",156
"dinner",156
"fact",156
"quickly",156
"signed",156
"success",156
"avenue",155
"charge",155
"remain",155
"rules",155
"smith",155
"walk",155
"cash",154
"created",154
"friend",154
"step",154
"test",154
"true",154
"ability",153
"arrested",153
"florida",153
"foot",153
"offers",153
"cause",152
"feet",152
"hearing",152
"mike",152
"popular",152
"businesses",151
"challenge",151
"detroit",151
"shooting",151
"finished",150
"further",150
"hotel",150
"management",150
"moment",150
"official",150
"orange",150
"organization",150
"raised",150
"serve",150
"trial",150
"floor",149
"goals",149
"immediately",149
"letter",149
"reach",149
"arts",148
"cover",148
"latest",148
"watch",148
"williams",148
"agreed",147
"basketball",147
"huge",147
"revenue",147
"she's",147
"talking",147
"evidence",146
"lose",146
"missouri",146
"release",146
"simply",146
"band",145
"beach",145
"blue",145
"company's",145
"dog",145
"favorite",145
"followed",145
"injury",145
"january",145
"raise",145
"spot",145
"value",145
"cancer",144
"consider",144
"deep",144
"downtown",144
"interview",144
"leader",144
"mean",144
"perfect",144
"seemed",144
"table",144
"wall",144
"begin",143
"complete",143
"investment",143
"itself",143
"johnson",143
"production",143
"projects",143
"quite",143
"thousands",143
"what's",143
"areas",142
"authorities",142
"beat",142
"certain",142
"dead",142
"defensive",142
"ended",142
"entire",142
"knows",142
"spend",142
"chris",141
"city's",141
"numbers",141
"rates",141
"regular",141
"rock",141
"investors",140
"looks",140
"perhaps",140
"period",140
"remains",140
"stock",140
"style",140
"year's",140
"failed",139
"hear",139
"hits",139
"husband",139
"proposal",139
"required",139
"travel",139
"beginning",138
"extra",138
"plant",138
"scott",138
"vice",138
"yards",138
"appeared",137
"considered",137
"fight",137
"land",137
"seem",137
"sell",137
"stand",137
"straight",137
"crowd",136
"nice",136
"november",136
"quality",136
"wouldn't",136
"championship",135
"dollars",135
"eventually",135
"form",135
"legislation",135
"measure",135
"returned",135
"review",135
"self",135
"usually",135
"hopes",134
"issued",134
"texas",134
"view",134
"candidate",133
"capital",133
"cars",133
"garden",133
"illinois",133
"lines",133
"square",133
"justice",132
"learn",132
"natural",132
"parking",132
"size",132
"certainly",131
"cities",131
"funding",131
"museum",131
"reached",131
"require",131
"sale",131
"sound",131
"whom",131
"benefit",130
"choice",130
"coast",130
"hands",130
"haven't",130
"leaving",130
"menu",130
"primary",130
"region",130
"stores",130
"access",129
"agreement",129
"award",129
"china",129
"criminal",129
"fine",129
"funds",129
"leadership",129
"plenty",129
"wide",129
"assistant",128
"gives",128
"impact",128
"majority",128
"marriage",128
"nation",128
"transportation",128
"approved",127
"born",127
"civil",127
"effect",127
"follow",127
"hill",127
"products",127
"proposed",127
"television",127
"twice",127
"weather",127
"words",127
"common",126
"concerns",126
"daily",126
"features",126
"fish",126
"seat",126
"changed",125
"i'd",125
"offense",125
"planned",125
"seasons",125
"thinking",125
"winter",125
"adding",124
"drop",124
"fair",124
"figure",124
"girl",124
"grew",124
"kansas",124
"parts",124
"southern",124
"thomas",124
"address",123
"aren't",123
"don",123
"due",123
"gov",123
"maryland",123
"remember",123
"simple",123
"tickets",123
"understand",123
"blazers",122
"boy",122
"degree",122
"particularly",122
"receive",122
"stories",122
"vehicle",122
"approach",121
"decades",121
"increased",121
"inning",121
"joined",121
"michigan",121
"mostly",121
"station",121
"account",120
"beyond",120
"campus",120
"chairman",120
"grand",120
"junior",120
"parks",120
"they've",120
"wait",120
"word",120
"candidates",119
"caused",119
"cup",119
"injuries",119
"throw",119
"avoid",118
"bridge",118
"enforcement",118
"owners",118
"range",118
"resident",118
"tom",118
"crime",117
"details",117
"emergency",117
"foundation",117
"host",117
"items",117
"kitchen",117
"network",117
"newark",117
"overall",117
"robert",117
"colorado",116
"competition",116
"described",116
"design",116
"elected",116
"enjoy",116
"george",116
"king",116
"library",116
"putting",116
"seeking",116
"starts",116
"website",116
"written",116
"banks",115
"dropped",115
"fifth",115
"guilty",115
"message",115
"piece",115
"plants",115
"santa",115
"terms",115
"western",115
"agent",114
"estate",114
"forced",114
"global",114
"illegal",114
"joe",114
"lawmakers",114
"learned",114
"related",114
"above",113
"authority",113
"declined",113
"earned",113
"eat",113
"environmental",113
"original",113
"restaurants",113
"seeing",113
"stuff",113
"treatment",113
"alone",112
"caught",112
"finally",112
"hundreds",112
"ice",112
"improve",112
"places",112
"protect",112
"request",112
"walking",112
"accused",111
"attack",111
"continued",111
"jones",111
"labor",111
"pain",111
"paying",111
"present",111
"prosecutors",111
"provided",111
"regional",111
"speed",111
"stopped",111
"super",111
"violence",111
"worst",111
"blood",110
"cool",110
"laws",110
"planning",110
"session",110
"compared",109
"conservative",109
"consumer",109
"designed",109
"partner",109
"positive",109
"response",109
"science",109
"selling",109
"send",109
"sweet",109
"various",109
"watching",109
"answer",108
"ceo",108
"chicken",108
"concerned",108
"continues",108
"date",108
"districts",108
"february",108
"hasn't",108
"healthy",108
"placed",108
"pressure",108
"professional",108
"township",108
"version",108
"willing",108
"camp",107
"commissioner",107
"difference",107
"festival",107
"mix",107
"ncaa",107
"ones",107
"pieces",107
"quarterback",107
"relationship",107
"advantage",106
"asking",106
"complex",106
"decade",106
"feeling",106
"french",106
"gop",106
"island",106
"none",106
"shots",106
"sun",106
"appear",105
"associated",105
"beer",105
"boys",105
"december",105
"european",105
"highest",105
"losing",105
"modern",105
"native",105
"older",105
"owned",105
"phoenix",105
"trust",105
"bought",104
"card",104
"character",104
"coaches",104
"immigration",104
"legislature",104
"miss",104
"physical",104
"scoring",104
"sides",104
"whatever",104
"below",103
"brother",103
"charles",103
"housing",103
"hurt",103
"incident",103
"martin",103
"operations",103
"plus",103
"shop",103
"voted",103
"walked",103
"airport",102
"claims",102
"cook",102
"davis",102
"facing",102
"individual",102
"match",102
"mid",102
"millions",102
"minute",102
"missed",102
"non",102
"offering",102
"resources",102
"rich",102
"sister",102
"society",102
"we'll",102
"winner",102
"consumers",101
"documents",101
"fast",101
"greater",101
"grow",101
"limited",101
"push",101
"reduce",101
"score",101
"sit",101
"successful",101
"theater",101
"trouble",101
"bigger",100
"creating",100
"currently",100
"disease",100
"fees",100
"jackson",100
"mexico",100
"professor",100
"ride",100
"safe",100
"serving",100
"tied",100
"traditional",100
"yard",100
"audience",99
"bills",99
"honor",99
"larger",99
"lived",99
"onto",99
"signs",99
"spokeswoman",99
"teacher",99
"type",99
"van",99
"addition",98
"appears",98
"box",98
"decisions",98
"definitely",98
"denver",98
"everybody",98
"fan",98
"girls",98
"holding",98
"inc",98
"interested",98
"missing",98
"offensive",98
"picture",98
"significant",98
"surgery",98
"ticket",98
"trail",98
"wearing",98
"you'll",98
"aid",97
"battle",97
"books",97
"committed",97
"corner",97
"drugs",97
"farm",97
"holiday",97
"innings",97
"keeping",97
"loans",97
"murder",97
"nba",97
"paper",97
"picked",97
"product",97
"september",97
"talked",97
"browns",96
"culture",96
"faces",96
"gay",96
"gold",96
"investigators",96
"jump",96
"lack",96
"model",96
"nation's",96
"sauce",96
"seats",96
"spoke",96
"telling",96
"you've",96
"arrived",95
"believes",95
"broke",95
"calling",95
"cheese",95
"commercial",95
"contact",95
"debate",95
"experts",95
"eye",95
"ford",95
"institute",95
"internet",95
"lots",95
"lunch",95
"nearby",95
"noted",95
"plate",95
"poor",95
"song",95
"stood",95
"voice",95
"apple",94
"august",94
"balance",94
"becoming",94
"cannot",94
"collection",94
"corporate",94
"dozen",94
"filled",94
"focused",94
"helping",94
"minnesota",94
"mountain",94
"neither",94
"playoffs",94
"pro",94
"slow",94
"unless",94
"village",94
"waiting",94
"wild",94
"activities",93
"crisis",93
"demand",93
"giants",93
"glass",93
"helps",93
"hills",93
"i'll",93
"learning",93
"movement",93
"reform",93
"standard",93
"standing",93
"suffered",93
"target",93
"writing",93
"blues",92
"buildings",92
"bus",92
"cardinals",92
"carry",92
"cross",92
"dance",92
"evening",92
"jail",92
"marijuana",92
"options",92
"population",92
"reading",92
"remaining",92
"rise",92
"steve",92
"struck",92
"taste",92
"tonight",92
"victims",92
"write",92
"appeal",91
"army",91
"cold",91
"color",91
"directly",91
"driver",91
"facility",91
"god",91
"increases",91
"independent",91
"language",91
"option",91
"pitch",91
"pop",91
"radio",91
"rule",91
"smaller",91
"suggested",91
"visitors",91
"classes",90
"clean",90
"damage",90
"gift",90
"mile",90
"obama's",90
"ordered",90
"protection",90
"reality",90
"ryan",90
"speak",90
"subject",90
"unemployment",90
"younger",90
"allowing",89
"attempt",89
"classic",89
"dogs",89
"employee",89
"flight",89
"golden",89
"grant",89
"jim",89
"join",89
"necessary",89
"october",89
"pair",89
"prepared",89
"provides",89
"schedule",89
"seventh",89
"speech",89
"votes",89
"allows",88
"centers",88
"citizens",88
"closer",88
"comments",88
"computer",88
"determined",88
"doctors",88
"environment",88
"heavy",88
"mail",88
"pace",88
"previously",88
"reporters",88
"sixth",88
"tim",88
"agents",87
"condition",87
"electric",87
"exactly",87
"feels",87
"fired",87
"heights",87
"levels",87
"profit",87
"requires",87
"salt",87
"writer",87
"awards",86
"bottom",86
"count",86
"cutting",86
"edge",86
"fit",86
"historic",86
"lawyer",86
"markets",86
"matt",86
"net",86
"page",86
"payments",86
"remove",86
"route",86
"spread",86
"sugar",86
"supporters",86
"turning",86
"worse",86
"advance",85
"agencies",85
